"","x"
"1","AIM1"
"2","AK7"
"3","CACNA2D2"
"4","CAMTA1"
"5","CNTNAP1"
"6","CNTNAP4"
"7","COL3A1"
"8","CSMD2"
"9","CTNNA3"
"10","DHX33"
"11","GABRA2"
"12","GPM6A"
"13","KCNMA1"
"14","LRIG1"
"15","MARK2"
"16","NRCAM"
"17","PCDHA12"
"18","PCDHB6"
"19","PRUNE2"
"20","SDK1"
"21","SNTG2"
"22","THSD1"
"23","TINAG"
"24","TTN"
"25","UTRN"
"26","XIRP2"
"27","ADAM29"
"28","ADAMTSL1"
"29","ADAMTSL4"
"30","ASPM"
"31","CACNA1H"
"32","CDH12"
"33","CELSR2"
"34","CWF19L1"
"35","DDX42"
"36","EPAS1"
"37","FBN1"
"38","FREM1"
"39","GPR158"
"40","GRIA3"
"41","GRN"
"42","KLHL4"
"43","KRT35"
"44","LRIT3"
"45","MAP3K15"
"46","MAP7D3"
"47","MST1R"
"48","NRIP1"
"49","PAK3"
"50","PCDH15"
"51","PCDHGB2"
"52","PDE4DIP"
"53","PHF3"
"54","PHKA1"
"55","PIK3C2B"
"56","PNPLA6"
"57","TEX2"
"58","TSGA10"
"59","WDR12"
"60","ZNF462"
"61","TTC40"
"62","ADAMTS6"
"63","BAAT"
"64","C7orf57"
"65","CCBE1"
"66","COL6A3"
"67","COL6A6"
"68","DNAH5"
"69","EPG5"
"70","GAS2L2"
"71","HSPA13"
"72","HSPBAP1"
"73","IQCG"
"74","IRS4"
"75","ITPR1"
"76","KIF20B"
"77","MAGEC2"
"78","MUC17"
"79","NINL"
"80","PCDHA2"
"81","PCDHGB1"
"82","RAB3GAP1"
"83","RFX6"
"84","SCN10A"
"85","UBR4"
"86","USH2A"
"87","ZNF318"
"88","BAI1"
"89","CGN"
"90","DGKB"
"91","HBP1"
"92","LIN54"
"93","LTN1"
"94","MAP3K6"
"95","MEOX2"
"96","OBP2A"
"97","UBE4A"
"98","WDR17"
"99","WWC1"
"100","ZFHX4"
"101","ACACB"
"102","ANK1"
